epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,13607.5,1.24377,1.50753,1.27387,0.62747,0.45894,0.50529,0.35544,1.15344,1.23286,1.18971,0.005842,0.005842,0.005842
44,13923.5,1.24108,1.50474,1.27299,0.62946,0.45753,0.5054,0.35556,1.1532,1.23222,1.18934,0.005743,0.005743,0.005743
45,14240.9,1.23971,1.5064,1.27109,0.63025,0.45739,0.5058,0.35629,1.153,1.2316,1.18899,0.005644,0.005644,0.005644
46,14556.6,1.23922,1.49958,1.27061,0.63279,0.45667,0.50606,0.35624,1.15246,1.23105,1.18843,0.005545,0.005545,0.005545
47,14872.3,1.2363,1.49401,1.26876,0.62965,0.45807,0.50677,0.35684,1.15177,1.22984,1.18784,0.005446,0.005446,0.005446
48,15188.1,1.2388,1.49566,1.26943,0.63047,0.4584,0.50704,0.35721,1.15179,1.22904,1.18743,0.005347,0.005347,0.005347
49,15502.9,1.23567,1.49096,1.26731,0.62754,0.45948,0.50736,0.35766,1.15129,1.22873,1.18702,0.005248,0.005248,0.005248
50,15818.7,1.2326,1.48877,1.26635,0.63235,0.45862,0.50769,0.35774,1.15114,1.22821,1.18651,0.005149,0.005149,0.005149
51,16133.9,1.23243,1.48508,1.26516,0.62736,0.46134,0.508,0.35799,1.15061,1.22721,1.18608,0.00505,0.00505,0.00505
52,16449.8,1.22979,1.48221,1.26445,0.62725,0.46148,0.50855,0.35852,1.15029,1.22693,1.18583,0.004951,0.004951,0.004951
53,16767.4,1.22974,1.47844,1.26316,0.62955,0.46114,0.50886,0.35889,1.14976,1.22592,1.1854,0.004852,0.004852,0.004852
54,17080.7,1.22929,1.47619,1.26317,0.62956,0.46171,0.50923,0.3593,1.14931,1.22519,1.18468,0.004753,0.004753,0.004753
55,17397.4,1.22705,1.4716,1.26193,0.62971,0.46154,0.5094,0.35961,1.14894,1.22466,1.18424,0.004654,0.004654,0.004654
56,17714.2,1.22547,1.46839,1.26009,0.62851,0.46201,0.50971,0.35992,1.14844,1.22411,1.18372,0.004555,0.004555,0.004555
57,18030,1.22247,1.46156,1.25805,0.6255,0.46374,0.51021,0.36018,1.14803,1.22314,1.18319,0.004456,0.004456,0.004456
58,18345.8,1.22233,1.46037,1.25881,0.62805,0.46348,0.51075,0.3606,1.14759,1.22262,1.18282,0.004357,0.004357,0.004357
59,18661.3,1.21963,1.45749,1.25647,0.62221,0.46698,0.51123,0.36087,1.14707,1.22216,1.18223,0.004258,0.004258,0.004258
60,18977.8,1.21725,1.45366,1.25428,0.62713,0.46567,0.51133,0.36138,1.14653,1.22173,1.18157,0.004159,0.004159,0.004159
61,19293.7,1.21633,1.44967,1.25444,0.63067,0.46525,0.51179,0.36156,1.14603,1.22106,1.18103,0.00406,0.00406,0.00406
62,19608.3,1.2163,1.44695,1.25388,0.63186,0.46631,0.51231,0.36192,1.1457,1.22042,1.18049,0.003961,0.003961,0.003961
63,19923.9,1.21412,1.44208,1.25372,0.63379,0.46549,0.51281,0.36239,1.14527,1.21981,1.18,0.003862,0.003862,0.003862
64,20239.7,1.214,1.43944,1.2518,0.6342,0.46536,0.513,0.36302,1.14451,1.21948,1.17929,0.003763,0.003763,0.003763
65,20554.7,1.21005,1.43404,1.25019,0.63249,0.46557,0.51328,0.36337,1.14356,1.21872,1.17866,0.003664,0.003664,0.003664
66,20869.8,1.20797,1.43056,1.24923,0.64651,0.46313,0.51413,0.36433,1.14316,1.21821,1.17818,0.003565,0.003565,0.003565
67,21185.3,1.20625,1.42491,1.24741,0.64402,0.46369,0.51435,0.36458,1.1429,1.21733,1.1778,0.003466,0.003466,0.003466
68,21500.4,1.20561,1.42248,1.24686,0.64636,0.46354,0.51475,0.36485,1.14223,1.21701,1.17727,0.003367,0.003367,0.003367
69,21814.8,1.20421,1.41594,1.24528,0.64432,0.46465,0.51542,0.36522,1.14184,1.21668,1.17685,0.003268,0.003268,0.003268
70,22130.9,1.20191,1.41585,1.24554,0.6428,0.46453,0.51558,0.36554,1.14111,1.21665,1.1762,0.003169,0.003169,0.003169
71,22446.5,1.19993,1.40787,1.24232,0.64085,0.46672,0.51623,0.366,1.14057,1.2163,1.17595,0.00307,0.00307,0.00307
72,22761.6,1.1968,1.40444,1.24141,0.64226,0.46742,0.51668,0.36629,1.14009,1.21612,1.17535,0.002971,0.002971,0.002971
73,23075.9,1.19516,1.3997,1.23972,0.63899,0.46904,0.51677,0.36653,1.13969,1.21581,1.17484,0.002872,0.002872,0.002872
